Location,Cluster,Spectral_Label,HC_Cluster,Hierarchical_Label
Albania,0,Aging (Constrictive),1,Aging (Constrictive)
Algeria,0,Aging (Constrictive),0,Transitional (Stationary)
Antigua and Barbuda,0,Aging (Constrictive),0,Transitional (Stationary)
Argentina,0,Aging (Constrictive),0,Transitional (Stationary)
Armenia,0,Aging (Constrictive),1,Aging (Constrictive)
Australia,0,Aging (Constrictive),1,Aging (Constrictive)
Austria,0,Aging (Constrictive),1,Aging (Constrictive)
Azerbaijan,0,Aging (Constrictive),0,Transitional (Stationary)
Bahamas,0,Aging (Constrictive),0,Transitional (Stationary)
Bangladesh,0,Aging (Constrictive),0,Transitional (Stationary)
Barbados,0,Aging (Constrictive),1,Aging (Constrictive)
Belarus,0,Aging (Constrictive),1,Aging (Constrictive)
Belgium,0,Aging (Constrictive),1,Aging (Constrictive)
Bhutan,0,Aging (Constrictive),0,Transitional (Stationary)
Bolivia (Plurinational State of),0,Aging (Constrictive),0,Transitional (Stationary)
Bosnia and Herzegovina,0,Aging (Constrictive),1,Aging (Constrictive)
Brazil,0,Aging (Constrictive),0,Transitional (Stationary)
Brunei Darussalam,0,Aging (Constrictive),0,Transitional (Stationary)
Bulgaria,0,Aging (Constrictive),1,Aging (Constrictive)
Canada,0,Aging (Constrictive),1,Aging (Constrictive)
Chile,0,Aging (Constrictive),0,Transitional (Stationary)
China,0,Aging (Constrictive),1,Aging (Constrictive)
"China, Taiwan Province of China",0,Aging (Constrictive),1,Aging (Constrictive)
Colombia,0,Aging (Constrictive),0,Transitional (Stationary)
Costa Rica,0,Aging (Constrictive),0,Transitional (Stationary)
Croatia,0,Aging (Constrictive),1,Aging (Constrictive)
Cuba,0,Aging (Constrictive),1,Aging (Constrictive)
Curaçao,0,Aging (Constrictive),1,Aging (Constrictive)
Cyprus,0,Aging (Constrictive),0,Transitional (Stationary)
Czechia,0,Aging (Constrictive),1,Aging (Constrictive)
Dem. People's Republic of Korea,0,Aging (Constrictive),0,Transitional (Stationary)
Denmark,0,Aging (Constrictive),1,Aging (Constrictive)
Dominican Republic,0,Aging (Constrictive),0,Transitional (Stationary)
Ecuador,0,Aging (Constrictive),0,Transitional (Stationary)
El Salvador,0,Aging (Constrictive),0,Transitional (Stationary)
Estonia,0,Aging (Constrictive),1,Aging (Constrictive)
Fiji,0,Aging (Constrictive),0,Transitional (Stationary)
Finland,0,Aging (Constrictive),1,Aging (Constrictive)
France,0,Aging (Constrictive),1,Aging (Constrictive)
Georgia,0,Aging (Constrictive),1,Aging (Constrictive)
Germany,0,Aging (Constrictive),1,Aging (Constrictive)
Greece,0,Aging (Constrictive),1,Aging (Constrictive)
Grenada,0,Aging (Constrictive),0,Transitional (Stationary)
Guam,0,Aging (Constrictive),0,Transitional (Stationary)
Guyana,0,Aging (Constrictive),0,Transitional (Stationary)
Hungary,0,Aging (Constrictive),1,Aging (Constrictive)
Iceland,0,Aging (Constrictive),1,Aging (Constrictive)
India,0,Aging (Constrictive),0,Transitional (Stationary)
Indonesia,0,Aging (Constrictive),0,Transitional (Stationary)
Iran (Islamic Republic of),0,Aging (Constrictive),0,Transitional (Stationary)
Ireland,0,Aging (Constrictive),1,Aging (Constrictive)
Israel,0,Aging (Constrictive),0,Transitional (Stationary)
Italy,0,Aging (Constrictive),1,Aging (Constrictive)
Jamaica,0,Aging (Constrictive),0,Transitional (Stationary)
Japan,0,Aging (Constrictive),1,Aging (Constrictive)
Kazakhstan,0,Aging (Constrictive),0,Transitional (Stationary)
Kuwait,0,Aging (Constrictive),0,Transitional (Stationary)
Latvia,0,Aging (Constrictive),1,Aging (Constrictive)
Lebanon,0,Aging (Constrictive),0,Transitional (Stationary)
Libya,0,Aging (Constrictive),0,Transitional (Stationary)
Lithuania,0,Aging (Constrictive),1,Aging (Constrictive)
Luxembourg,0,Aging (Constrictive),1,Aging (Constrictive)
Malaysia,0,Aging (Constrictive),0,Transitional (Stationary)
Malta,0,Aging (Constrictive),1,Aging (Constrictive)
Mauritius,0,Aging (Constrictive),0,Transitional (Stationary)
Mexico,0,Aging (Constrictive),0,Transitional (Stationary)
Mongolia,0,Aging (Constrictive),0,Transitional (Stationary)
Montenegro,0,Aging (Constrictive),1,Aging (Constrictive)
Morocco,0,Aging (Constrictive),0,Transitional (Stationary)
Myanmar,0,Aging (Constrictive),0,Transitional (Stationary)
Netherlands,0,Aging (Constrictive),1,Aging (Constrictive)
New Zealand,0,Aging (Constrictive),1,Aging (Constrictive)
North Macedonia,0,Aging (Constrictive),1,Aging (Constrictive)
Northern Europe,0,Aging (Constrictive),1,Aging (Constrictive)
Norway,0,Aging (Constrictive),1,Aging (Constrictive)
Panama,0,Aging (Constrictive),0,Transitional (Stationary)
Peru,0,Aging (Constrictive),0,Transitional (Stationary)
Poland,0,Aging (Constrictive),1,Aging (Constrictive)
Portugal,0,Aging (Constrictive),1,Aging (Constrictive)
Puerto Rico,0,Aging (Constrictive),1,Aging (Constrictive)
Republic of Korea,0,Aging (Constrictive),1,Aging (Constrictive)
Republic of Moldova,0,Aging (Constrictive),1,Aging (Constrictive)
Romania,0,Aging (Constrictive),1,Aging (Constrictive)
Russian Federation,0,Aging (Constrictive),1,Aging (Constrictive)
Saint Lucia,0,Aging (Constrictive),0,Transitional (Stationary)
Saint Vincent and the Grenadines,0,Aging (Constrictive),0,Transitional (Stationary)
